VIN,Year,Make,Model,Current price,Current price to market %,DOL,Mileage,Total VDPs (lifetime),Total sales opportunities (lifetime)
KL4AMGSL6SB100498,2025,BUICK,ENCORE GX,"$36,580 ",104%,295,"2,220",39,7
ZACNDFBN8P3A04427,2023,DODGE,HORNET,"$27,991 ",106%,259,"11,639","1,141",10
58ADZ1B12SU208027,2025,LEXUS,ES,"$47,714 ",97%,53,6,168,8
KNDNC5K32T6578409,2026,KIA,CARNIVAL,"$44,120 ",104%,28,0,22,0
5TFMC5DB7TX114400,2026,TOYOTA,TUNDRA 4WD,"$72,540 ",95%,75,8,38,2
2T3A1RFV2SW40E994,2025,TOYOTA,RAV4,"$37,604 ",95%,26,0,17,0
1C4RJKAG6S8682477,2025,JEEP,GRAND CHEROKEE L,"$42,155 ",95%,171,11,230,4
4T1DAACK2SU639571,2025,TOYOTA,CAMRY,"$31,064 ",91%,75,8,39,1
7YAKMDDC1SY027682,2025,HYUNDAI,IONIQ 5,"$51,621 ",104%,118,10,104,0
2HKRW2H23LH608268,2020,HONDA,CR-V,"$21,588 ",95%,27,"54,506",555,0
JTJBJRBZ0J2082742,2018,LEXUS,NX,"$30,998 ",106%,26,"44,537",293,6
JTDBCMFE1T3114375,2026,TOYOTA,COROLLA,"$26,079 ",95%,11,0,8,0
KL47LAEP8SB139943,2025,BUICK,ENVISTA,"$25,190 ",99%,165,538,208,10
2C4RC3BG2TR167027,2026,CHRYSLER,PACIFICA,"$47,360 ",98%,7,0,6,0
WZ1DB0G01TW074130,2026,TOYOTA,GR SUPRA,"$63,845 ",95%,26,0,31,1
4T1DAACK5TU39C357,2026,TOYOTA,CAMRY,"$33,814 ",97%,26,0,22,0
JTEVA5BR2S5045079,2025,TOYOTA,4RUNNER,"$55,028 ",101%,75,8,221,5
4T3RWRFV6SU201350,2025,TOYOTA,RAV4,"$35,889 ",95%,43,8,8,1
JTJHKCFZ2S2064341,2025,LEXUS,NX,"$67,934 ",102%,136,10,975,17
3GKALTEV9NL297043,2022,GMC,TERRAIN,"$20,371 ",87%,49,"27,805",58,0
5TDAAAB62TS049646,2026,LEXUS,TX,"$66,718 ",99%,6,10,5,0
5YFB4MDE9TP37D112,2026,TOYOTA,COROLLA,"$25,839 ",104%,42,0,33,0
JTDB4MEE9T3032943,2026,TOYOTA,COROLLA,"$24,229 ",98%,43,8,19,0
1C4RJKDG4S8753915,2025,JEEP,GRAND CHEROKEE L,"$65,135 ",109%,17,0,48,0
3GCUDJET6NG524464,2022,CHEVROLET,SILVERADO 1500,"$45,998 ",96%,102,"47,107",56,5
5TDADAB58TS026550,2026,TOYOTA,GRAND HIGHLANDER,"$61,158 ",100%,43,0,0,0
5XYP5DGC6SG682418,2025,KIA,TELLURIDE,"$55,855 ",107%,40,8,7,0
5FPYK3F55PB018403,2023,HONDA,RIDGELINE,"$30,868 ",97%,6,"42,799",43,0
5FPYK3F89SB051035,2025,HONDA,RIDGELINE,"$48,655 ",104%,17,5,17,0
1GNSKGKL4NR279031,2022,CHEVROLET,SUBURBAN,"$54,992 ",95%,94,"51,224",88,7
5FNYG1H86SB126544,2025,HONDA,PILOT,"$54,530 ",101%,139,5,293,0
2T3A1RFV2SW594324,2025,TOYOTA,RAV4,"$40,254 ",102%,43,8,9,0
3CZRZ2H54TM726755,2026,HONDA,HR-V,"$31,405 ",102%,25,0,3,0
5TDKSKFC2SS213709,2025,TOYOTA,SIENNA,"$46,465 ",105%,43,8,15,0
7MMVABEMXPN116541,2023,MAZDA,CX-50,"$26,286 ",94%,17,"34,070",14,0
4T1DAACK0TU41G208,2026,TOYOTA,CAMRY,"$32,814 ",94%,11,0,9,0
5TDZKRFH9FS057192,2015,TOYOTA,HIGHLANDER,"$15,990 ",100%,14,"106,680",24,1
1C4PJXDG6SW622002,2025,JEEP,WRANGLER,"$45,000 ",93%,95,8,153,3
5XYADFS56TG011765,2026,KIA,EV9,$0 ,0%,-,0,1,0
JTDACAAU7T3067801,2026,TOYOTA,PRIUS,"$32,493 ",98%,61,8,48,0
JTMRWRFV6SJ081239,2025,TOYOTA,RAV4,"$35,889 ",95%,11,0,6,0
JTDACACU3T3056131,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$35,367 ",90%,75,8,62,1
JTNABAAE9SA018133,2025,TOYOTA,GR COROLLA,"$41,998 ",101%,32,"5,157",447,3
4T1DAACK9TU42F974,2026,TOYOTA,CAMRY,"$33,414 ",96%,11,0,9,0
2T2AGCEZXTC098016,2026,LEXUS,NX,"$48,690 ",101%,17,10,34,1
1C4RJHBG4SC319190,2025,JEEP,GRAND CHEROKEE,"$46,131 ",95%,175,676,515,3
JTDACACU4T3059636,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$35,324 ",89%,26,8,18,0
2T3P1RFV4SW41G123,2025,TOYOTA,RAV4,"$35,504 ",98%,11,0,8,0
5FNYG1H77SB166235,2025,HONDA,PILOT,"$51,095 ",100%,13,5,4,0
5FPYK3F46SB030947,2025,HONDA,RIDGELINE,"$46,730 ",103%,145,5,105,0
5NMJBCDEXSH542957,2025,HYUNDAI,TUCSON,"$33,191 ",102%,66,35,56,0
JTHGZ1B24P5064370,2023,LEXUS,IS,"$47,998 ",109%,19,"10,777",174,4
4T1K61AK9PU806303,2023,TOYOTA,CAMRY,"$27,477 ",99%,28,"54,706",190,1
2T3P1RFV0SW39F836,2025,TOYOTA,RAV4,"$34,239 ",94%,26,0,19,0
5NMJCCDE8SH564470,2025,HYUNDAI,TUCSON,"$35,474 ",102%,149,8,127,0
JTMFB3FVXSD281812,2025,TOYOTA,RAV4 PLUG-IN HYBRID,"$55,174 ",102%,42,8,25,0
